,uid,タイトル字数,タイトル語数,タイトル名詞数,原稿字数,原稿語数,原稿異なり語数,原稿名詞数,原稿異なり名詞数,原稿文数,文平均字数,文平均語数,文平均名詞数
147,sj_5e600211935017d8,14,5,3,1817.0,974.0,393.0,441.0,289.0,86.0,20.13953488372093,11.313953488372093,5.116279069767442
148,sj_92bbb3fba33edfc8,37,12,10,1018.0,457.0,238.0,279.0,184.0,88.0,10.579545454545455,5.170454545454546,3.147727272727273
149,sj_c8db5fac533d69ea,24,10,7,2375.0,1154.0,432.0,616.0,321.0,162.0,13.666666666666666,7.1234567901234565,3.802469135802469
152,sj_9803db1f93dbd837,36,10,9,490.0,204.0,139.0,108.0,91.0,44.0,10.159090909090908,4.681818181818182,2.4545454545454546
160,sj_f465f7d981d8b661,26,13,10,2030.0,1011.0,387.0,506.0,272.0,77.0,25.376623376623378,13.12987012987013,6.584415584415584
172,sj_6e327e96d66c8202,28,9,7,3054.0,1595.0,574.0,639.0,394.0,171.0,16.86549707602339,9.32748538011696,3.736842105263158
174,sj_cdb9f620e313bc35,16,6,4,1509.0,793.0,336.0,407.0,245.0,82.0,17.414634146341463,9.670731707317072,4.963414634146342
175,sj_f81dd74e7e719a86,16,5,4,2549.0,1269.0,474.0,614.0,352.0,114.0,21.36842105263158,11.131578947368421,5.385964912280702
177,sj_c963dd21f18c5aa4,16,6,5,1018.0,493.0,243.0,231.0,179.0,47.0,20.680851063829788,10.446808510638299,4.872340425531915
178,sj_f825a1380876d222,30,12,7,1648.0,828.0,333.0,371.0,215.0,74.0,21.283783783783782,11.175675675675675,5.027027027027027
180,sj_168378157c8cead9,32,12,8,1020.0,461.0,250.0,225.0,172.0,51.0,19.019607843137255,9.058823529411764,4.431372549019608
181,sj_a4612cae5b23706e,24,7,4,1000.0,442.0,242.0,228.0,167.0,47.0,20.29787234042553,9.425531914893616,4.872340425531915
182,sj_44386e91c43ed0c8,9,2,2,1862.0,907.0,407.0,458.0,302.0,1.0,1862.0,907.0,458.0
183,sj_11f6271edeab5869,34,11,7,1157.0,522.0,256.0,263.0,171.0,69.0,15.782608695652174,7.565217391304348,3.8260869565217392
187,sj_d253230e7d152081,28,12,8,1209.0,595.0,288.0,358.0,207.0,73.0,15.575342465753424,8.164383561643836,4.904109589041096
188,sj_590829349a254fdb,17,3,3,1310.0,665.0,307.0,349.0,230.0,63.0,19.80952380952381,10.523809523809524,5.523809523809524
189,sj_a72fbcbdbef6e1c2,22,5,5,966.0,459.0,250.0,280.0,178.0,65.0,13.876923076923077,7.061538461538461,4.3076923076923075
190,sj_be52fa71dcd274df,44,8,8,641.0,240.0,158.0,155.0,119.0,50.0,11.84,4.8,3.1
